Compname,Surface Metal Bandcenter,Surface Oxygen Bandcenter,Surface Metal Bader Charge,Bulk Metal Bandcenter,Bulk Oxygen Bandcenter,"Intermediate (*O, *OH or *OOH)",Bulk Metal Charge,Bulk Oxygen Charge,Surface Oxygen Bader Charge,Adsorbate Oxygen Bandcenter,Adsorbed Oxygen Bader Charge
Zn_2_Fe_4_O_8,-4.844671916,-2.687888261,1.557396,-5.734084387,-3.151742136,OH,1.5497741666666667,-1.16233075,-1.05967425,-2.507389344,-1.050101667
Zn_2_Fe_4_O_8,-5.15154966,-2.91869846,1.5512666666666668,-5.734084387,-3.151742136,OOH,1.5497741666666667,-1.16233075,-1.15242575,-4.065971623,-0.425099667
Mn_2_Fe_4_O_8,-3.901983622,-2.771386351,1.5962800000000001,-3.748182405,-3.664230941,O,1.4816939999999998,-1.11127025,-1.15715675,-3.7144395,-0.301680333
Mn_2_Fe_4_O_8,-3.997191315,-2.804604321,1.6376539999999997,-3.748182405,-3.664230941,OH,1.4816939999999998,-1.11127025,-1.12696675,-2.474568713,-1.125417
Mn_2_Fe_4_O_8,-4.289212497,-2.834361156,1.650367,-3.748182405,-3.664230941,OOH,1.4816939999999998,-1.11127025,-1.191747,-4.630781333,-0.487519667
Sr_2_Rh_4_O_8,-2.117800446,-3.158462989,1.503199333333333,-2.686166267,-4.061176173,O,1.2892311666666665,-0.966923,-0.861879,-1.653142957,-0.695095667
Sr_2_Rh_4_O_8,-2.341665754,-3.13919533,1.4401826666666668,-2.686166267,-4.061176173,OH,1.2892311666666665,-0.966923,-0.88905375,-2.956852837,-1.196937333
Sr_2_Rh_4_O_8,-2.543430006,-3.136891922,1.4223100000000002,-2.686166267,-4.061176173,OOH,1.2892311666666665,-0.966923,-0.91204875,-4.697984222,-0.566869333
Mg_2_Co_4_O_8,-2.265160591,-3.012670899,1.5028403333333336,-1.887505582,-3.217216025,O,1.4012236666666666,-1.050918,-1.0735515,-1.763307908,-0.4727955
Mg_2_Co_4_O_8,-2.697636497,-2.864181483,1.5441023333333332,-1.887505582,-3.217216025,OH,1.4012236666666666,-1.050918,-1.0943925,-3.087357453,-1.138042
Mg_2_Co_4_O_8,-1.921194459,-2.861119613,1.4713933333333333,-1.887505582,-3.217216025,OOH,1.4012236666666666,-1.050918,-1.07620975,-3.981254386,-0.5138615
Sr_2_In_4_O_8,-1.2156648,-1.557690173,1.7114458000000004,-1.197418592,-1.434269511,O,1.7114101666666668,-1.2835575,-1.2243295,-0.345438868,-0.548144
Sr_2_In_4_O_8,-1.421454191,-1.551935024,1.7264362000000002,-1.197418592,-1.434269511,OH,1.7114101666666668,-1.2835575,-1.23199,-1.513264544,-1.1654255
Sr_2_In_4_O_8,-1.869895987,-1.980625528,1.7195504,-1.197418592,-1.434269511,OOH,1.7114101666666668,-1.2835575,-1.23604,-2.268129282,-0.4868555
Co_2_Co_2_Mn_2_O_8,-3.615288459,-3.098424674,1.4248603333333334,-3.952093625,-4.309381347,O,1.411391166666667,-1.0585435,-1.059162,-3.660471485,-0.294944
Co_2_Co_2_Mn_2_O_8,-3.086870845,-2.87228215,1.4693349999999998,-3.952093625,-4.309381347,OH,1.411391166666667,-1.0585435,-0.9596125,-3.091960633,-1.14045
